Token,PrevPrevToken,PrevToken,NextToken,NextNextToken,IsNumeric,Label
Gelirim,<YOK>,<YOK>,60000,TL,False,DIGER
60000,<YOK>,Gelirim,TL,civarında,True,GELIR
TL,Gelirim,60000,civarında,gideri,False,DIGER
civarında,60000,TL,gideri,25000,False,DIGER
gideri,TL,civarında,25000,TL,False,DIGER
25000,civarında,gideri,TL,kadar,True,GIDER
TL,gideri,25000,kadar,300000,False,DIGER
kadar,25000,TL,300000,TL,False,DIGER
300000,TL,kadar,TL,konut,True,TUTAR
TL,kadar,300000,konut,kredisi,False,DIGER
konut,300000,TL,kredisi,36,False,DIGER
kredisi,TL,konut,36,ay,False,DIGER
36,konut,kredisi,ay,vade,True,VADE
ay,kredisi,36,vade,istiyorum,False,DIGER
vade,36,ay,istiyorum,<YOK>,False,DIGER
istiyorum,ay,vade,<YOK>,<YOK>,False,DIGER
Ayda,<YOK>,<YOK>,40000,TL,False,DIGER
40000,<YOK>,Ayda,TL,kazanıyorum,True,GELIR
TL,Ayda,40000,kazanıyorum,250000,False,DIGER
kazanıyorum,40000,TL,250000,TL,False,DIGER
250000,TL,kazanıyorum,TL,taşıt,True,TUTAR
TL,kazanıyorum,250000,taşıt,kredisi,False,DIGER
taşıt,250000,TL,kredisi,istiyorum,False,DIGER
kredisi,TL,taşıt,istiyorum,48,False,DIGER
istiyorum,taşıt,kredisi,48,ay,False,DIGER
48,kredisi,istiyorum,ay,vadeyle,True,VADE
ay,istiyorum,48,vadeyle,<YOK>,False,DIGER
vadeyle,48,ay,<YOK>,<YOK>,False,DIGER
50000,<YOK>,<YOK>,TL,maaş,True,GELIR
TL,<YOK>,50000,maaş,alıyorum,False,DIGER
maaş,50000,TL,alıyorum,harcamalarım,False,DIGER
alıyorum,TL,maaş,harcamalarım,18000,False,DIGER
harcamalarım,maaş,alıyorum,18000,TL,False,DIGER
18000,alıyorum,harcamalarım,TL,120000,True,GIDER
TL,harcamalarım,18000,120000,TL,False,DIGER
120000,18000,TL,TL,istiyorum,True,TUTAR
TL,TL,120000,istiyorum,10,False,DIGER
istiyorum,120000,TL,10,ay,False,DIGER
10,TL,istiyorum,ay,vadeli,True,VADE
ay,istiyorum,10,vadeli,<YOK>,False,DIGER
vadeli,10,ay,<YOK>,<YOK>,False,DIGER
Net,<YOK>,<YOK>,gelirim,38000,False,DIGER
gelirim,<YOK>,Net,38000,TL,False,DIGER
38000,Net,gelirim,TL,aylık,True,GELIR
TL,gelirim,38000,aylık,masraflarım,False,DIGER
aylık,38000,TL,masraflarım,16000,False,DIGER
masraflarım,TL,aylık,16000,TL,False,DIGER
16000,aylık,masraflarım,TL,90000,True,GIDER
TL,masraflarım,16000,90000,TL,False,DIGER
90000,16000,TL,TL,ihtiyaç,True,TUTAR
TL,TL,90000,ihtiyaç,kredisi,False,DIGER
ihtiyaç,90000,TL,kredisi,12,False,DIGER
kredisi,TL,ihtiyaç,12,ay,False,DIGER
12,ihtiyaç,kredisi,ay,<YOK>,True,VADE
ay,kredisi,12,<YOK>,<YOK>,False,DIGER
70000,<YOK>,<YOK>,TL,kazanıyorum,True,GELIR
TL,<YOK>,70000,kazanıyorum,giderlerim,False,DIGER
kazanıyorum,70000,TL,giderlerim,30000,False,DIGER
giderlerim,TL,kazanıyorum,30000,TL,False,DIGER
30000,kazanıyorum,giderlerim,TL,400000,True,GIDER
TL,giderlerim,30000,400000,TL,False,DIGER
400000,30000,TL,TL,konut,True,TUTAR
TL,TL,400000,konut,için,False,DIGER
konut,400000,TL,için,60,False,DIGER
için,TL,konut,60,ay,False,DIGER
60,konut,için,ay,vade,True,VADE
ay,için,60,vade,düşünüyorum,False,DIGER
vade,60,ay,düşünüyorum,<YOK>,False,DIGER
Maaşım,<YOK>,<YOK>,27000,TL,False,DIGER
27000,<YOK>,Maaşım,TL,80000,True,GELIR
TL,Maaşım,27000,80000,TL,False,DIGER
80000,27000,TL,TL,istiyorum,True,TUTAR
TL,TL,80000,istiyorum,9,False,DIGER
istiyorum,80000,TL,9,ay,False,DIGER
9,TL,istiyorum,ay,vadeli,True,VADE
ay,istiyorum,9,vadeli,olsun,False,DIGER
vadeli,9,ay,olsun,<YOK>,False,DIGER
olsun,ay,vadeli,<YOK>,<YOK>,False,DIGER
45000,<YOK>,<YOK>,lira,geliri,True,GELIR
lira,<YOK>,45000,geliri,var,False,DIGER
geliri,45000,lira,var,21000,False,DIGER
var,lira,geliri,21000,lira,False,DIGER
21000,geliri,var,lira,gideri,True,GIDER
lira,var,21000,gideri,var,False,DIGER
gideri,21000,lira,var,150000,False,DIGER
var,lira,gideri,150000,lira,False,DIGER
150000,gideri,var,lira,12,True,TUTAR
lira,var,150000,12,ay,False,DIGER
12,150000,lira,ay,taksitle,True,VADE
ay,lira,12,taksitle,istiyor,False,DIGER
taksitle,12,ay,istiyor,<YOK>,False,DIGER
istiyor,ay,taksitle,<YOK>,<YOK>,False,DIGER
Aylık,<YOK>,<YOK>,kazancım,48000,False,DIGER
kazancım,<YOK>,Aylık,48000,TL,False,DIGER
48000,Aylık,kazancım,TL,giderim,True,GELIR
TL,kazancım,48000,giderim,22000,False,DIGER
giderim,48000,TL,22000,TL,False,DIGER
22000,TL,giderim,TL,civarında,True,GIDER
TL,giderim,22000,civarında,175000,False,DIGER
civarında,22000,TL,175000,TL,False,DIGER
175000,TL,civarında,TL,taşıt,True,TUTAR
TL,civarında,175000,taşıt,kredisi,False,DIGER
taşıt,175000,TL,kredisi,18,False,DIGER
kredisi,TL,taşıt,18,ay,False,DIGER
18,taşıt,kredisi,ay,vade,True,VADE
ay,kredisi,18,vade,istiyorum,False,DIGER
vade,18,ay,istiyorum,<YOK>,False,DIGER
35000,<YOK>,<YOK>,TL,maaşım,True,GELIR
TL,<YOK>,35000,maaşım,var,False,DIGER
maaşım,35000,TL,var,110000,False,DIGER
var,TL,maaşım,110000,TL,False,DIGER
110000,maaşım,var,TL,ihtiyaç,True,TUTAR
TL,var,110000,ihtiyaç,kredisi,False,DIGER
ihtiyaç,110000,TL,kredisi,15,False,DIGER
kredisi,TL,ihtiyaç,15,ay,False,DIGER
15,ihtiyaç,kredisi,ay,vadeyle,True,VADE
ay,kredisi,15,vadeyle,istiyorum,False,DIGER
vadeyle,15,ay,istiyorum,<YOK>,False,DIGER
istiyorum,ay,vadeyle,<YOK>,<YOK>,False,DIGER
40000,<YOK>,<YOK>,lira,gideri,True,GIDER
lira,<YOK>,40000,gideri,olan,False,DIGER
gideri,40000,lira,olan,birinin,False,DIGER
olan,lira,gideri,birinin,70000,False,DIGER
birinin,gideri,olan,70000,lira,False,DIGER
70000,olan,birinin,lira,geliri,True,GELIR
lira,birinin,70000,geliri,varsa,False,DIGER
geliri,70000,lira,varsa,300000,False,DIGER
varsa,lira,geliri,300000,tllik,False,DIGER
300000,geliri,varsa,tllik,krediyi,True,TUTAR
tllik,varsa,300000,krediyi,18,False,DIGER
krediyi,300000,tllik,18,ay,False,DIGER
18,tllik,krediyi,ay,vade,True,VADE
ay,krediyi,18,vade,ile,False,DIGER
vade,18,ay,ile,alabilir,False,DIGER
ile,ay,vade,alabilir,mi,False,DIGER
alabilir,vade,ile,mi,?,False,DIGER
mi,ile,alabilir,?,<YOK>,False,DIGER
?,alabilir,mi,<YOK>,<YOK>,False,DIGER
15,<YOK>,<YOK>,aylık,vade,True,VADE
aylık,<YOK>,15,vade,ile,False,DIGER
vade,15,aylık,ile,120000,False,DIGER
ile,aylık,vade,120000,TL,False,DIGER
120000,vade,ile,TL,kredi,True,TUTAR
TL,ile,120000,kredi,çekmek,False,DIGER
kredi,120000,TL,çekmek,istiyorum,False,DIGER
çekmek,TL,kredi,istiyorum,gelirim,False,DIGER
istiyorum,kredi,çekmek,gelirim,50000,False,DIGER
gelirim,çekmek,istiyorum,50000,giderim,False,DIGER
50000,istiyorum,gelirim,giderim,21000,True,GELIR
giderim,gelirim,50000,21000,<YOK>,False,DIGER
21000,50000,giderim,<YOK>,<YOK>,True,GIDER
Aylık,<YOK>,<YOK>,geliri,42000,False,DIGER
geliri,<YOK>,Aylık,42000,olan,False,DIGER
42000,Aylık,geliri,olan,ama,True,GELIR
olan,geliri,42000,ama,giderleri,False,DIGER
ama,42000,olan,giderleri,27000,False,DIGER
giderleri,olan,ama,27000,ulaşan,False,DIGER
27000,ama,giderleri,ulaşan,biri,True,GIDER
ulaşan,giderleri,27000,biri,95000,False,DIGER
biri,27000,ulaşan,95000,TL,False,DIGER
95000,ulaşan,biri,TL,ihtiyaç,True,TUTAR
TL,biri,95000,ihtiyaç,kredisi,False,DIGER
ihtiyaç,95000,TL,kredisi,kullanabilir,False,DIGER
kredisi,TL,ihtiyaç,kullanabilir,mi,False,DIGER
kullanabilir,ihtiyaç,kredisi,mi,<YOK>,False,DIGER
mi,kredisi,kullanabilir,<YOK>,<YOK>,False,DIGER
250000,<YOK>,<YOK>,TL,kredi,True,TUTAR
TL,<YOK>,250000,kredi,istiyorum,False,DIGER
kredi,250000,TL,istiyorum,18,False,DIGER
istiyorum,TL,kredi,18,aylık,False,DIGER
18,kredi,istiyorum,aylık,ödeyeceğim,True,VADE
aylık,istiyorum,18,ödeyeceğim,gelirim,False,DIGER
ödeyeceğim,18,aylık,gelirim,70000,False,DIGER
gelirim,aylık,ödeyeceğim,70000,giderim,False,DIGER
70000,ödeyeceğim,gelirim,giderim,30000,True,GELIR
giderim,gelirim,70000,30000,civarında,False,DIGER
30000,70000,giderim,civarında,<YOK>,True,GIDER
civarında,giderim,30000,<YOK>,<YOK>,False,DIGER
6,<YOK>,<YOK>,aylık,vadeyle,True,VADE
aylık,<YOK>,6,vadeyle,45000,False,DIGER
vadeyle,6,aylık,45000,lira,False,DIGER
45000,aylık,vadeyle,lira,kredi,True,TUTAR
lira,vadeyle,45000,kredi,kullanmak,False,DIGER
kredi,45000,lira,kullanmak,istiyorum,False,DIGER
kullanmak,lira,kredi,istiyorum,gelirim,False,DIGER
istiyorum,kredi,kullanmak,gelirim,33000,False,DIGER
gelirim,kullanmak,istiyorum,33000,giderim,False,DIGER
33000,istiyorum,gelirim,giderim,ise,True,GELIR
giderim,gelirim,33000,ise,14000,False,DIGER
ise,33000,giderim,14000,kadar,False,DIGER
14000,giderim,ise,kadar,<YOK>,True,GIDER
kadar,ise,14000,<YOK>,<YOK>,False,DIGER
180000,<YOK>,<YOK>,TLlik,krediyi,True,TUTAR
TLlik,<YOK>,180000,krediyi,9,False,DIGER
krediyi,180000,TLlik,9,aylık,False,DIGER
9,TLlik,krediyi,aylık,taksitle,True,VADE
aylık,krediyi,9,taksitle,ödemek,False,DIGER
taksitle,9,aylık,ödemek,istiyorum,False,DIGER
ödemek,aylık,taksitle,istiyorum,çünkü,False,DIGER
istiyorum,taksitle,ödemek,çünkü,gelirim,False,DIGER
çünkü,ödemek,istiyorum,gelirim,52000,False,DIGER
gelirim,istiyorum,çünkü,52000,giderim,False,DIGER
52000,çünkü,gelirim,giderim,de,True,GELIR
giderim,gelirim,52000,de,19000,False,DIGER
de,52000,giderim,19000,civarında,False,DIGER
19000,giderim,de,civarında,<YOK>,True,GIDER
civarında,de,19000,<YOK>,<YOK>,False,DIGER
Gelirim,<YOK>,<YOK>,80000,iken,False,DIGER
80000,<YOK>,Gelirim,iken,giderim,True,GELIR
iken,Gelirim,80000,giderim,62000,False,DIGER
giderim,80000,iken,62000,24,False,DIGER
62000,iken,giderim,24,aylık,True,GIDER
24,giderim,62000,aylık,vadeyle,True,VADE
aylık,62000,24,vadeyle,500000,False,DIGER
vadeyle,24,aylık,500000,lira,False,DIGER
500000,aylık,vadeyle,lira,çekmek,True,TUTAR
lira,vadeyle,500000,çekmek,istiyorum,False,DIGER
çekmek,500000,lira,istiyorum,<YOK>,False,DIGER
istiyorum,lira,çekmek,<YOK>,<YOK>,False,DIGER
8,<YOK>,<YOK>,aylık,vadeyle,True,VADE
aylık,<YOK>,8,vadeyle,60000,False,DIGER
vadeyle,8,aylık,60000,TL,False,DIGER
60000,aylık,vadeyle,TL,kredi,True,TUTAR
TL,vadeyle,60000,kredi,istiyorum,False,DIGER
kredi,60000,TL,istiyorum,<YOK>,False,DIGER
istiyorum,TL,kredi,<YOK>,<YOK>,False,DIGER
80000,<YOK>,<YOK>,TL,kredi,True,TUTAR
TL,<YOK>,80000,kredi,istiyorum,False,DIGER
kredi,80000,TL,istiyorum,gelirim,False,DIGER
istiyorum,TL,kredi,gelirim,45000,False,DIGER
gelirim,kredi,istiyorum,45000,TL,False,DIGER
45000,istiyorum,gelirim,TL,ise,True,GELIR
TL,gelirim,45000,ise,giderim,False,DIGER
ise,45000,TL,giderim,12000,False,DIGER
giderim,TL,ise,12000,TL,False,DIGER
12000,ise,giderim,TL,<YOK>,True,GIDER
TL,giderim,12000,<YOK>,<YOK>,False,DIGER
Kredi,<YOK>,<YOK>,tutarım,130000,False,DIGER
tutarım,<YOK>,Kredi,130000,TL,False,DIGER
130000,Kredi,tutarım,TL,olsun,True,TUTAR
TL,tutarım,130000,olsun,gelirim,False,DIGER
olsun,130000,TL,gelirim,58000,False,DIGER
gelirim,TL,olsun,58000,TL,False,DIGER
58000,olsun,gelirim,TL,giderim,True,GELIR
TL,gelirim,58000,giderim,ise,False,DIGER
giderim,58000,TL,ise,25000,False,DIGER
ise,TL,giderim,25000,TL,False,DIGER
25000,giderim,ise,TL,<YOK>,True,GIDER
TL,ise,25000,<YOK>,<YOK>,False,DIGER
16,<YOK>,<YOK>,ay,vadeyle,True,VADE
ay,<YOK>,16,vadeyle,95000,False,DIGER
vadeyle,16,ay,95000,TL,False,DIGER
95000,ay,vadeyle,TL,kredi,True,TUTAR
TL,vadeyle,95000,kredi,çekeceğim,False,DIGER
kredi,95000,TL,çekeceğim,gelirim,False,DIGER
çekeceğim,TL,kredi,gelirim,40000,False,DIGER
gelirim,kredi,çekeceğim,40000,TL,False,DIGER
40000,çekeceğim,gelirim,TL,giderim,True,GELIR
TL,gelirim,40000,giderim,ise,False,DIGER
giderim,40000,TL,ise,sadece,False,DIGER
ise,TL,giderim,sadece,11000,False,DIGER
sadece,giderim,ise,11000,TL,False,DIGER
11000,ise,sadece,TL,<YOK>,True,GIDER
TL,sadece,11000,<YOK>,<YOK>,False,DIGER
Aylık,<YOK>,<YOK>,77000,TL,False,DIGER
77000,<YOK>,Aylık,TL,kazanıyorum,True,GELIR
TL,Aylık,77000,kazanıyorum,60000,False,DIGER
kazanıyorum,77000,TL,60000,TL,False,DIGER
60000,TL,kazanıyorum,TL,kredi,True,TUTAR
TL,kazanıyorum,60000,kredi,istiyorum,False,DIGER
kredi,60000,TL,istiyorum,42,False,DIGER
istiyorum,TL,kredi,42,ay,False,DIGER
42,kredi,istiyorum,ay,vadeyle,True,VADE
ay,istiyorum,42,vadeyle,<YOK>,False,DIGER
vadeyle,42,ay,<YOK>,<YOK>,False,DIGER
Aylık,<YOK>,<YOK>,46000,TL,False,DIGER
46000,<YOK>,Aylık,TL,kazanıyorum,True,GELIR
TL,Aylık,46000,kazanıyorum,110000,False,DIGER
kazanıyorum,46000,TL,110000,TL,False,DIGER
110000,TL,kazanıyorum,TL,kredi,True,TUTAR
TL,kazanıyorum,110000,kredi,istiyorum,False,DIGER
kredi,110000,TL,istiyorum,10,False,DIGER
istiyorum,TL,kredi,10,ay,False,DIGER
10,kredi,istiyorum,ay,vadeyle,True,VADE
ay,istiyorum,10,vadeyle,<YOK>,False,DIGER
vadeyle,10,ay,<YOK>,<YOK>,False,DIGER
Aylık,<YOK>,<YOK>,83000,TL,False,DIGER
83000,<YOK>,Aylık,TL,kazanıyorum,True,GELIR
TL,Aylık,83000,kazanıyorum,310000,False,DIGER
kazanıyorum,83000,TL,310000,TL,False,DIGER
310000,TL,kazanıyorum,TL,kredi,True,TUTAR
TL,kazanıyorum,310000,kredi,istiyorum,False,DIGER
kredi,310000,TL,istiyorum,42,False,DIGER
Maaşım,<YOK>,<YOK>,68000,lira,False,DIGER
68000,<YOK>,Maaşım,lira,260000,True,GELIR
lira,Maaşım,68000,260000,lira,False,DIGER
260000,68000,lira,lira,ihtiyaç,True,TUTAR
lira,lira,260000,ihtiyaç,kredisi,False,DIGER
ihtiyaç,260000,lira,kredisi,istiyorum,False,DIGER
kredisi,lira,ihtiyaç,istiyorum,18,False,DIGER
istiyorum,ihtiyaç,kredisi,18,ay,False,DIGER
18,kredisi,istiyorum,ay,vadeli,True,VADE
ay,istiyorum,18,vadeli,<YOK>,False,DIGER
vadeli,18,ay,<YOK>,<YOK>,False,DIGER
Maaşım,<YOK>,<YOK>,28000,lira,False,DIGER
28000,<YOK>,Maaşım,lira,85000,True,GELIR
lira,Maaşım,28000,85000,lira,False,DIGER
85000,28000,lira,lira,ihtiyaç,True,TUTAR
lira,lira,85000,ihtiyaç,kredisi,False,DIGER
ihtiyaç,85000,lira,kredisi,istiyorum,False,DIGER
kredisi,lira,ihtiyaç,istiyorum,12,False,DIGER
istiyorum,ihtiyaç,kredisi,12,ay,False,DIGER
12,kredisi,istiyorum,ay,vadeli,True,VADE
ay,istiyorum,12,vadeli,<YOK>,False,DIGER
vadeli,12,ay,<YOK>,<YOK>,False,DIGER
Maaşım,<YOK>,<YOK>,41000,lira,False,DIGER
41000,<YOK>,Maaşım,lira,260000,True,GELIR
lira,Maaşım,41000,260000,lira,False,DIGER
260000,41000,lira,lira,ihtiyaç,True,TUTAR
kredisi,lira,ihtiyaç,istiyorum,6,False,DIGER
istiyorum,ihtiyaç,kredisi,6,ay,False,DIGER
6,kredisi,istiyorum,ay,vadeli,True,VADE
ay,istiyorum,6,vadeli,<YOK>,False,DIGER
vadeli,6,ay,<YOK>,<YOK>,False,DIGER
Gelirim,<YOK>,<YOK>,68000,TL,False,DIGER
68000,<YOK>,Gelirim,TL,civarında,True,GELIR
TL,Gelirim,68000,civarında,350000,False,DIGER
civarında,68000,TL,350000,TL,False,DIGER
350000,TL,civarında,TL,konut,True,TUTAR
TL,civarında,350000,konut,kredisi,False,DIGER
konut,350000,TL,kredisi,36,False,DIGER
ay,kredisi,36,vade,düşünüyorum,False,DIGER
vade,36,ay,düşünüyorum,<YOK>,False,DIGER
Gelirim,<YOK>,<YOK>,83000,TL,False,DIGER
83000,<YOK>,Gelirim,TL,civarında,True,GELIR
TL,Gelirim,83000,civarında,160000,False,DIGER
civarında,83000,TL,160000,TL,False,DIGER
160000,TL,civarında,TL,konut,True,TUTAR
TL,civarında,160000,konut,kredisi,False,DIGER
konut,160000,TL,kredisi,12,False,DIGER
kredisi,TL,konut,12,ay,False,DIGER
12,konut,kredisi,ay,vade,True,VADE
ay,kredisi,12,vade,düşünüyorum,False,DIGER
Gelirim,<YOK>,<YOK>,63000,TL,False,DIGER
63000,<YOK>,Gelirim,TL,civarında,True,GELIR
TL,Gelirim,63000,civarında,130000,False,DIGER
civarında,63000,TL,130000,TL,False,DIGER
130000,TL,civarında,TL,konut,True,TUTAR
TL,civarında,130000,konut,kredisi,False,DIGER
konut,130000,TL,kredisi,48,False,DIGER
kredisi,TL,konut,48,ay,False,DIGER
48,konut,kredisi,ay,vade,True,VADE
ay,kredisi,48,vade,düşünüyorum,False,DIGER
vade,48,ay,düşünüyorum,<YOK>,False,DIGER
Net,<YOK>,<YOK>,gelirim,28000,False,DIGER
gelirim,<YOK>,Net,28000,TL,False,DIGER
28000,Net,gelirim,TL,350000,True,GELIR
TL,gelirim,28000,350000,TL,False,DIGER
350000,28000,TL,TL,taşıt,True,TUTAR
TL,TL,350000,taşıt,kredisi,False,DIGER
taşıt,350000,TL,kredisi,istiyorum,False,DIGER
kredisi,TL,taşıt,istiyorum,18,False,DIGER
istiyorum,taşıt,kredisi,18,ay,False,DIGER
18,kredisi,istiyorum,ay,<YOK>,True,VADE
ay,istiyorum,18,<YOK>,<YOK>,False,DIGER
Net,<YOK>,<YOK>,gelirim,52000,False,DIGER
gelirim,<YOK>,Net,52000,TL,False,DIGER
52000,Net,gelirim,TL,95000,True,GELIR
TL,gelirim,52000,95000,TL,False,DIGER
95000,52000,TL,TL,taşıt,True,TUTAR
TL,TL,95000,taşıt,kredisi,False,DIGER
taşıt,95000,TL,kredisi,istiyorum,False,DIGER
kredisi,TL,taşıt,istiyorum,12,False,DIGER
istiyorum,taşıt,kredisi,12,ay,False,DIGER
12,kredisi,istiyorum,ay,<YOK>,True,VADE
ay,istiyorum,12,<YOK>,<YOK>,False,DIGER
52000,Net,gelirim,TL,85000,True,GELIR
TL,gelirim,52000,85000,TL,False,DIGER
85000,52000,TL,TL,taşıt,True,TUTAR
TL,TL,85000,taşıt,kredisi,False,DIGER
taşıt,85000,TL,kredisi,istiyorum,False,DIGER
Gelirim,<YOK>,<YOK>,32000,TL,False,DIGER
32000,<YOK>,Gelirim,TL,ise,True,GELIR
TL,Gelirim,32000,ise,giderim,False,DIGER
ise,32000,TL,giderim,19000,False,DIGER
giderim,TL,ise,19000,TL,False,DIGER
19000,ise,giderim,TL,140000,True,GIDER
TL,giderim,19000,140000,TL,False,DIGER
140000,19000,TL,TL,kredi,True,TUTAR
TL,TL,140000,kredi,30,False,DIGER
kredi,140000,TL,30,ay,False,DIGER
30,TL,kredi,ay,vadeyle,True,VADE
ay,kredi,30,vadeyle,<YOK>,False,DIGER
vadeyle,30,ay,<YOK>,<YOK>,False,DIGER
Gelirim,<YOK>,<YOK>,46000,TL,False,DIGER
46000,<YOK>,Gelirim,TL,ise,True,GELIR
TL,Gelirim,46000,ise,giderim,False,DIGER
ise,46000,TL,giderim,9000,False,DIGER
giderim,TL,ise,9000,TL,False,DIGER
9000,ise,giderim,TL,350000,True,GIDER
TL,giderim,9000,350000,TL,False,DIGER
350000,9000,TL,TL,kredi,True,TUTAR
TL,TL,350000,kredi,20,False,DIGER
kredi,350000,TL,20,ay,False,DIGER
20,TL,kredi,ay,vadeyle,True,VADE
ay,kredi,20,vadeyle,<YOK>,False,DIGER
vadeyle,20,ay,<YOK>,<YOK>,False,DIGER
68000,<YOK>,Gelirim,TL,ise,True,GELIR
TL,Gelirim,68000,ise,giderim,False,DIGER
ise,68000,TL,giderim,11000,False,DIGER
giderim,TL,ise,11000,TL,False,DIGER
11000,ise,giderim,TL,160000,True,GIDER
TL,giderim,11000,160000,TL,False,DIGER
160000,11000,TL,TL,kredi,True,TUTAR
TL,TL,160000,kredi,9,False,DIGER
kredi,160000,TL,9,ay,False,DIGER
9,TL,kredi,ay,vadeyle,True,VADE
ay,kredi,9,vadeyle,<YOK>,False,DIGER
vadeyle,9,ay,<YOK>,<YOK>,False,DIGER
68000,<YOK>,Gelirim,TL,ama,True,GELIR
TL,Gelirim,68000,ama,giderim,False,DIGER
ama,68000,TL,giderim,17000,False,DIGER
giderim,TL,ama,17000,TL,False,DIGER
17000,ama,giderim,TL,310000,True,GIDER
TL,giderim,17000,310000,TL,False,DIGER
310000,17000,TL,TL,kredi,True,TUTAR
TL,TL,310000,kredi,istiyorum,False,DIGER
kredi,310000,TL,istiyorum,30,False,DIGER
istiyorum,TL,kredi,30,aylık,False,DIGER
30,kredi,istiyorum,aylık,<YOK>,True,VADE
aylık,istiyorum,30,<YOK>,<YOK>,False,DIGER
Gelirim,<YOK>,<YOK>,52000,TL,False,DIGER
52000,<YOK>,Gelirim,TL,ama,True,GELIR
TL,Gelirim,52000,ama,giderim,False,DIGER
ama,52000,TL,giderim,28000,False,DIGER
giderim,TL,ama,28000,TL,False,DIGER
28000,ama,giderim,TL,110000,True,GIDER
TL,giderim,28000,110000,TL,False,DIGER
110000,28000,TL,TL,kredi,True,TUTAR
TL,TL,110000,kredi,istiyorum,False,DIGER
kredi,110000,TL,istiyorum,42,False,DIGER
istiyorum,TL,kredi,42,aylık,False,DIGER
42,kredi,istiyorum,aylık,<YOK>,True,VADE
aylık,istiyorum,42,<YOK>,<YOK>,False,DIGER
32000,<YOK>,Gelirim,TL,ama,True,GELIR
TL,Gelirim,32000,ama,giderim,False,DIGER
ama,32000,TL,giderim,9000,False,DIGER
giderim,TL,ama,9000,TL,False,DIGER
9000,ama,giderim,TL,310000,True,GIDER
TL,giderim,9000,310000,TL,False,DIGER
310000,9000,TL,TL,kredi,True,TUTAR
kredi,310000,TL,istiyorum,12,False,DIGER
istiyorum,TL,kredi,12,aylık,False,DIGER
12,kredi,istiyorum,aylık,<YOK>,True,VADE
aylık,istiyorum,12,<YOK>,<YOK>,False,DIGER
46000,<YOK>,Gelirim,TL,iken,True,GELIR
TL,Gelirim,46000,iken,giderim,False,DIGER
iken,46000,TL,giderim,11000,False,DIGER
giderim,TL,iken,11000,TL,False,DIGER
11000,iken,giderim,TL,110000,True,GIDER
TL,giderim,11000,110000,lira,False,DIGER
110000,11000,TL,lira,çekmek,True,TUTAR
lira,TL,110000,çekmek,istiyorum,False,DIGER
çekmek,110000,lira,istiyorum,9,False,DIGER
istiyorum,lira,çekmek,9,aylık,False,DIGER
9,çekmek,istiyorum,aylık,<YOK>,True,VADE
aylık,istiyorum,9,<YOK>,<YOK>,False,DIGER
Gelirim,<YOK>,<YOK>,58000,TL,False,DIGER
58000,<YOK>,Gelirim,TL,iken,True,GELIR
TL,Gelirim,58000,iken,giderim,False,DIGER
iken,58000,TL,giderim,17000,False,DIGER
giderim,TL,iken,17000,TL,False,DIGER
17000,iken,giderim,TL,180000,True,GIDER
